363739,518.200134277,-5377.55615234,-4.67849159241
362974,516.761901855,-5368.38330078,-4.46289634705
311322,514.753234863,-5358.69921875,-3.92463493347
362980,512.24029541,-5340.37353516,-3.71486949921
219790,509.145233154,-5322.77783203,-3.12894821167
310828,505.448638916,-5299.92089844,-1.02979779243
362929,504.082885742,-5286.42431641,-2.54242134094
362930,503.082885742,-5271.42431641,-2.54242134094
362931,502.082885742,-5257.42431641,-2.54242134094
362931,501.082885742,-5242.42431641,-2.54242134094
