46394,533.504150391,-5453.11035156,-2.21630120277
180826,533.902099609,-5455.23828125,-4.16865968704
113887,532.957946777,-5457.36035156,-4.49886894226
183555,529.910461426,-5460.76171875,-4.15978527069
185027,526.784912109,-5461.85986328,-4.44986820221
185986,523.40637207,-5463.16943359,-4.2342133522
136350,516.548706055,-5464.06689453,-4.77321720123
137961,505.401397705,-5465.93896484,-5.10559034348
137410,496.4503479,-5467.83007813,-5.67058181763
138285,485.640106201,-5469.66552734,-6.15789365768
137720,472.037658691,-5472.02294922,-3.88123297691
138489,455.488677979,-5474.68505859,-6.85726308823
36859,431.81817627,-5479.64257813,2.4628136158
138176,418.511566162,-5482.32958984,-0.519827127457
