463626,221.820846558,-3720.57641602,-9.17267799377
462694,224.062637329,-3723.51660156,-9.16591453552
243455,227.304214478,-3727.01000977,-8.79688262939
461561,230.985855103,-3730.70166016,-9.2291469574
461073,236.265472412,-3733.65649414,-2.94008421898
413554,242.160476685,-3734.81958008,-9.46756362915
459136,248.556747437,-3735.28759766,-8.52979373932
196609,259.038482666,-3735.21166992,-6.37833070755
248913,279.50680542,-3736.06225586,-3.9558596611
199179,300.526306152,-3735.77954102,-5.95944070816
200450,330.079742432,-3734.51196289,7.83547973633
455317,346.53894043,-3734.64428711,-0.31674066186
